incident_id,offense_code_encoded,offense_category_name_encoded,crime_against_encoded,agency_name_encoded,ct_flag_encoded,ARREST,incident_hour
165454992,10,2,0,9,0,1,11.0
165454994,22,14,1,9,1,0,17.0
165457042,10,2,0,41,0,1,13.0
165459390,10,2,0,41,0,1,13.0
165459428,10,2,0,41,0,1,13.0
165459726,22,14,1,41,1,1,13.0
165459826,34,6,1,41,0,1,13.0
165460022,22,14,1,41,1,0,13.0
165461724,10,2,0,41,0,1,13.0
165461785,34,6,1,41,0,1,13.0
165461811,23,15,1,41,1,0,13.0
165468421,10,2,0,41,0,1,13.0
165488877,23,15,1,41,1,1,13.0
165513717,10,2,0,14,0,0,13.0
165516597,10,2,0,41,0,1,13.0
165521603,10,2,0,41,0,1,13.0
165571735,35,7,2,81,0,1,18.0
165669627,24,5,1,69,0,0,7.0
165669906,24,5,1,69,0,0,13.0
165670233,17,14,1,69,0,0,10.0
165670419,24,5,1,69,0,0,9.0
165671300,17,14,1,69,0,0,14.0
165671533,11,2,0,69,0,0,21.0
165706092,10,2,0,14,0,1,13.0
165736290,24,5,1,0,0,0,13.0
165739495,20,14,1,69,1,0,3.0
165739532,22,14,1,69,1,0,1.0
165739618,10,2,0,69,0,1,23.0
165739655,24,5,1,69,0,0,23.0
165739694,35,7,2,69,0,0,4.0
165739702,17,14,1,69,0,0,11.0
165739709,34,6,1,69,0,0,13.0
165739765,34,6,1,69,0,0,16.0
165739791,24,5,1,69,0,0,16.0
165739811,35,7,2,69,0,0,22.0
165740001,24,5,1,69,0,0,20.0
165742144,11,2,0,69,0,0,14.0
165743172,17,14,1,69,0,1,15.0
165743673,10,2,0,69,0,1,20.0
165744322,34,6,1,69,0,0,15.0
165744953,30,10,1,69,1,0,19.0
165745888,10,2,0,69,0,1,3.0
165749150,9,2,0,77,0,1,0.0
165749206,47,23,2,61,0,1,11.0
165749207,14,4,1,61,1,0,12.0
165749215,34,6,1,61,0,1,19.0
165749313,25,10,1,22,1,0,15.0
165749315,14,4,1,22,1,0,1.0
165749317,25,10,1,22,1,0,15.0
165749319,23,15,1,22,1,0,16.0
165749321,34,6,1,22,0,0,14.0
165749323,22,14,1,22,1,0,12.0
165749325,9,2,0,22,0,0,10.0
165749327,12,1,1,22,0,1,6.0
165750748,10,2,0,81,0,0,7.0
165815852,34,6,1,67,0,0,13.0
165817167,9,2,0,67,0,0,13.0
165817833,10,2,0,67,0,0,13.0
165817885,23,15,1,67,1,0,13.0
165817918,34,6,1,67,0,0,13.0
165845291,11,2,0,23,0,0,11.0
165845294,14,4,1,23,1,0,9.0
165845297,10,2,0,23,0,0,12.0
165845302,22,14,1,23,1,0,11.0
165845305,14,4,1,23,1,0,19.0
165845309,22,14,1,23,1,0,15.0
165845311,35,7,2,23,0,0,11.0
165845314,14,4,1,23,1,0,15.0
165845317,11,2,0,23,0,0,11.0
165845322,14,4,1,23,1,0,19.0
165845325,34,6,1,23,0,0,23.0
165845328,14,4,1,23,1,0,17.0
165845330,23,15,1,23,1,0,5.0
165845333,14,4,1,23,1,0,10.0
165845340,14,4,1,23,1,0,21.0
165845343,23,15,1,23,1,0,12.0
165845349,34,6,1,23,0,0,15.0
165845352,9,2,0,23,0,1,17.0
165845538,23,15,1,81,1,1,17.0
165845540,10,2,0,81,0,0,19.0
165941376,10,2,0,71,0,0,13.0
165941852,10,2,0,71,0,0,13.0
165942156,10,2,0,81,0,0,21.0
166118260,34,6,1,48,0,0,23.0
166118261,10,2,0,48,0,1,23.0
166118264,30,10,1,48,1,0,14.0
166118265,17,14,1,48,0,1,12.0
166118267,25,10,1,48,1,0,13.0
166118268,34,6,1,48,0,0,19.0
166118269,34,6,1,48,0,1,23.0
166118270,32,8,1,48,1,0,13.0
166118272,35,7,2,48,0,0,12.0
166118273,17,14,1,48,0,0,18.0
166118274,10,2,0,48,0,1,20.0
166118275,23,15,1,48,1,0,10.0
166118276,17,14,1,48,0,0,6.0
166118278,23,15,1,48,1,1,6.0
166118279,7,21,0,48,0,0,9.0
166118280,22,14,1,48,1,0,11.0
166118282,10,2,0,48,0,0,12.0
166118283,17,14,1,48,0,0,16.0
166118284,23,15,1,48,1,0,4.0
166118285,34,6,1,48,0,0,12.0
166118286,11,2,0,48,0,0,0.0
166118289,10,2,0,48,0,0,19.0
166118292,14,4,1,48,1,1,22.0
166118293,10,2,0,48,0,1,14.0
166118294,26,10,1,48,1,0,21.0
166118295,34,6,1,48,0,0,12.0
166118296,23,15,1,48,1,0,8.0
166118297,35,7,2,48,0,1,22.0
166118302,33,22,1,48,0,1,7.0
166118303,17,14,1,48,0,0,17.0
166118304,14,4,1,48,1,0,0.0
166118305,21,14,1,48,0,0,15.0
166118568,23,15,1,71,1,0,13.0
166118687,34,6,1,71,0,0,13.0
166118978,23,15,1,71,1,0,13.0
166119062,14,4,1,71,1,0,13.0
166119152,14,4,1,71,1,0,13.0
166132776,10,2,0,62,0,1,23.0
166134957,10,2,0,40,0,0,13.0
166135327,47,23,2,43,0,1,1.0
166135328,34,6,1,43,0,1,19.0
166135329,9,2,0,43,0,1,4.0
166135330,14,4,1,43,1,0,12.0
166135332,47,23,2,43,0,1,14.0
166135333,47,23,2,43,0,1,22.0
166135338,9,2,0,43,0,1,2.0
166135339,10,2,0,43,0,0,11.0
166135340,34,6,1,43,0,1,19.0
166135341,14,4,1,43,1,0,12.0
166135345,17,14,1,43,0,1,0.0
166135346,32,8,1,43,1,0,13.0
166135347,17,14,1,43,0,0,22.0
166135349,33,22,1,43,0,0,23.0
166135351,4,21,0,43,0,0,11.0
166135356,17,14,1,43,0,0,18.0
166135358,14,4,1,43,1,0,21.0
166135360,22,14,1,43,1,0,14.0
166135361,9,2,0,43,0,0,0.0
166135362,35,7,2,43,0,1,21.0
166135363,22,14,1,43,1,0,8.0
166135364,10,2,0,43,0,0,13.0
166135365,10,2,0,43,0,0,12.0
166135370,10,2,0,43,0,1,7.0
166135374,34,6,1,43,0,0,0.0
166135377,17,14,1,43,0,1,16.0
166135381,10,2,0,43,0,1,0.0
166135382,35,7,2,43,0,1,11.0
166135383,17,14,1,43,0,0,18.0
166135384,14,4,1,43,1,0,8.0
166135385,10,2,0,43,0,1,13.0
166135386,10,2,0,43,0,1,16.0
166135387,14,4,1,43,1,0,17.0
166135389,34,6,1,43,0,1,21.0
166135391,22,14,1,43,1,0,20.0
166135395,23,15,1,43,1,0,13.0
166135396,34,6,1,43,0,1,13.0
166135397,22,14,1,43,1,0,11.0
166135398,34,6,1,43,0,0,15.0
166135484,14,4,1,63,1,1,18.0
166135516,47,23,2,65,0,1,0.0
166135518,14,4,1,65,1,0,8.0
166135520,34,6,1,65,0,0,12.0
166135522,36,7,2,65,0,0,16.0
166135523,10,2,0,65,0,0,13.0
166135524,34,6,1,65,0,0,15.0
166135525,35,7,2,65,0,0,17.0
166135527,17,14,1,65,0,0,18.0
166135529,9,2,0,65,0,1,21.0
166135531,34,6,1,65,0,0,1.0
166135533,20,14,1,65,1,0,18.0
166135534,9,2,0,65,0,1,10.0
166135535,10,2,0,65,0,1,13.0
166135536,9,2,0,65,0,0,14.0
166135537,34,6,1,65,0,0,19.0
166135538,25,10,1,65,1,0,19.0
166135539,10,2,0,65,0,0,20.0
166135543,35,7,2,65,0,0,8.0
166135545,10,2,0,65,0,0,15.0
166135546,35,7,2,65,0,0,10.0
166135547,34,6,1,65,0,0,14.0
166135548,34,6,1,65,0,0,17.0
166135551,10,2,0,65,0,0,22.0
166135553,47,23,2,65,0,1,9.0
166135554,34,6,1,65,0,0,10.0
166135556,18,14,1,65,1,0,15.0
166135557,14,4,1,65,1,0,16.0
166135558,25,10,1,65,1,0,16.0
166135559,35,7,2,65,0,0,15.0
166135561,10,2,0,65,0,1,4.0
166135563,35,7,2,65,0,0,9.0
166135565,35,7,2,65,0,0,15.0
166135566,17,14,1,65,0,0,15.0
166135567,14,4,1,65,1,0,15.0
166135568,35,7,2,65,0,0,18.0
166135569,35,7,2,65,0,0,17.0
166135570,17,14,1,65,0,0,18.0
166135574,34,6,1,65,0,0,16.0
166135575,22,14,1,65,1,0,10.0
166135576,36,7,2,65,0,1,14.0
166135579,9,2,0,65,0,0,17.0
166135580,10,2,0,65,0,0,18.0
166135582,25,10,1,65,1,0,15.0
166135583,17,14,1,65,0,1,15.0
166135584,35,7,2,65,0,0,7.0
166135585,34,6,1,65,0,0,23.0
166135587,10,2,0,65,0,0,12.0
166135590,14,4,1,65,1,0,14.0
166135592,35,7,2,65,0,0,0.0
166135593,10,2,0,65,0,1,2.0
166135594,17,14,1,65,0,0,9.0
166135596,35,7,2,65,0,0,11.0
166135598,10,2,0,65,0,0,1.0
166135601,17,14,1,65,0,0,19.0
166135602,34,6,1,65,0,0,5.0
166135604,17,14,1,65,0,0,8.0
166135606,35,7,2,65,0,0,14.0
166135609,10,2,0,65,0,1,3.0
166135610,35,7,2,65,0,1,9.0
166135611,10,2,0,65,0,1,11.0
166135612,35,7,2,65,0,0,11.0
166135613,40,17,2,65,0,0,11.0
166135614,17,14,1,65,0,0,13.0
166135615,34,6,1,65,0,0,14.0
166135616,17,14,1,65,0,0,18.0
166135617,10,2,0,65,0,1,16.0
166135620,30,10,1,65,1,0,9.0
166135622,17,14,1,65,0,0,13.0
166135623,10,2,0,65,0,1,16.0
166135625,35,7,2,65,0,0,8.0
166135628,34,6,1,65,0,0,4.0
166135629,34,6,1,65,0,0,11.0
166135630,17,14,1,65,0,0,13.0
166135631,17,14,1,65,0,0,16.0
166135632,17,14,1,65,0,0,18.0
166135634,13,9,1,65,1,0,21.0
166135635,11,2,0,65,0,0,22.0
166135636,14,4,1,65,1,1,0.0
166135638,18,14,1,65,1,0,8.0
166135644,24,5,1,65,0,0,16.0
166135645,10,2,0,65,0,1,13.0
166135646,34,6,1,65,0,0,13.0
166135647,25,10,1,65,1,1,17.0
166135648,47,23,2,65,0,0,20.0
166135649,20,14,1,65,1,0,20.0
166135650,35,7,2,65,0,0,21.0
166135651,10,2,0,65,0,0,22.0
166135653,14,4,1,65,1,0,10.0
166135654,17,14,1,65,0,1,12.0
166135655,17,14,1,65,0,1,14.0
166135656,24,5,1,65,0,0,15.0
166135657,17,14,1,65,0,1,16.0
166135658,35,7,2,65,0,0,18.0
166135659,24,5,1,65,0,0,23.0
166135660,34,6,1,65,0,1,2.0
166135661,34,6,1,65,0,0,3.0
166135662,23,15,1,65,1,0,7.0
166135663,20,14,1,65,1,0,0.0
166135664,20,14,1,65,1,0,12.0
166135665,20,14,1,65,1,0,13.0
166135666,24,5,1,65,0,0,14.0
