offense_code_encoded,offense_category_name_encoded,crime_against_encoded,ct_flag_encoded,hc_flag_encoded,weapon_name_encoded,arrest_type_name_encoded,sex_code_encoded,race_desc_encoded,ethnicity_name_encoded,avg_arrestee_age,MULTIPLE_ARRESTS,ARREST
16,19,1,0,1,12,1,1,0,1,57.0,0,1
9,3,0,0,1,12,2,0,0,1,32.0,0,1
9,3,0,0,1,12,0,0,0,1,29.0,0,1
9,3,0,0,1,12,0,1,0,1,34.0,0,1
9,3,0,0,1,12,0,0,0,1,44.0,0,1
9,3,0,0,1,12,0,1,5,1,33.0,0,1
16,19,1,0,1,12,0,1,5,1,32.0,0,1
30,28,1,0,1,5,0,1,5,0,31.0,0,1
9,3,0,0,1,12,2,1,5,1,23.0,0,1
16,19,1,0,1,12,1,1,5,1,18.0,0,1
9,3,0,0,1,12,1,0,5,1,47.5,1,1
16,19,1,0,1,12,0,0,0,1,24.0,0,1
16,19,1,0,1,12,1,0,5,1,60.0,0,1
49,0,2,0,0,12,0,0,0,1,25.0,0,1
9,3,0,0,1,0,0,0,0,1,29.0,0,1
16,19,1,0,1,12,1,0,5,1,33.0,0,1
9,3,0,0,1,12,2,0,5,0,33.0,0,1
31,7,1,0,1,5,1,1,0,1,40.0,0,1
16,19,1,0,1,12,0,0,0,1,34.0,0,1
16,19,1,0,1,12,0,0,5,1,45.0,0,1
9,3,0,0,1,12,0,0,4,1,22.0,0,1
16,19,1,0,1,12,0,0,5,0,37.0,0,1
16,19,1,0,1,12,0,1,0,1,30.0,0,1
9,3,0,0,1,12,2,1,0,1,22.0,0,1
16,19,1,0,1,12,2,1,0,1,40.0,0,1
16,19,1,0,1,12,0,1,5,1,31.0,0,1
32,10,2,0,1,12,0,1,5,1,37.0,0,1
32,10,2,0,1,12,0,1,5,1,33.0,0,1
9,3,0,0,1,12,0,1,0,1,21.0,0,1
32,10,2,0,1,12,0,0,5,1,32.0,0,1
